x,quality,dead,toolate,makespan
330, 18711,7,1,1328
331, 18711,7,1,1328
332, 18711,7,1,1328
333, 18711,7,2,1268
334, 18711,7,1,1328
335, 18711,7,1,1328
336, 18711,7,1,1328
337, 18711,7,2,1451
338, 18711,7,1,1268
339, 18711,7,1,1328
340, 18711,7,1,1328
341, 18711,7,1,1328
342, 18711,7,1,1268
343, 18711,7,1,1268
344, 18711,6,1,1229
345, 18711,7,1,1328
346, 18711,7,1,1328
347, 18711,7,1,1328
348, 18711,7,1,1328
349, 18711,7,1,1328
350, 18711,7,1,1328
351, 18711,7,1,1328
352, 18711,7,1,1268
353, 18711,7,1,1245
354, 18711,7,1,1328
355, 18711,7,2,1328
356, 18711,7,2,1328
357, 18711,7,1,1328
358, 18711,7,1,1328
359, 18711,8,1,1418
360, 18711,7,2,1328
361, 18711,7,1,1328
362, 17089,7,1,1328
363, 17089,7,1,1328
364, 17089,7,1,1451
365, 17089,7,1,1328
366, 17089,7,1,1328
367, 17089,7,1,1328
368, 17089,7,1,1328
369, 17089,7,1,1328
370, 17089,7,1,1328
371, 17089,7,1,1328
372, 17089,7,1,1328
373, 17089,6,1,1328
374, 17089,7,1,1328
375, 17089,7,1,1328
376, 17089,6,1,1328
377, 17089,7,1,1328
378, 17089,6,1,1328
379, 17089,6,1,1328
380, 17069,6,1,1328
381, 17069,6,1,1328
382, 17069,6,1,1328
383, 17069,6,1,1328
384, 17062,6,1,1328
385, 17062,6,1,1328
386, 17062,6,1,1328
387, 17062,6,1,1328
388, 17062,6,1,1328
389, 17062,6,1,1328
390, 17062,6,1,1328
391, 17062,6,1,1328
392, 17062,6,1,1328
393, 17062,6,1,1328
394, 17062,6,1,1328
395, 16980,6,1,1328
396, 16980,6,1,1328
397, 16980,6,1,1328
398, 16947,6,1,1328
399, 16939,6,1,1328
400, 16939,6,1,1328
401, 16939,6,1,1328
402, 16939,6,1,1328
403, 16939,6,1,1328
404, 16939,6,1,1328
405, 16939,6,1,1328
406, 16939,6,1,1328
407, 16929,6,1,1328
408, 16929,6,1,1328
409, 16929,6,1,1328
410, 16929,6,1,1328
411, 16929,6,1,1328
412, 16929,6,1,1328
413, 16929,6,1,1328
414, 16929,6,1,1328
415, 16929,6,1,1328
416, 16929,6,1,1328
417, 16929,6,1,1328
418, 16929,6,1,1328
419, 16929,6,1,1328
420, 16929,6,1,1328
421, 16865,6,1,1373
422, 16865,6,1,1373
423, 16865,7,1,1279
424, 16865,6,1,1328
425, 16865,6,1,1373
426, 16865,6,1,1373
427, 16779,6,1,1328
428, 16779,6,1,1328
429, 16779,6,1,1328
430, 16779,7,1,1290
431, 16765,6,1,1328
432, 16765,6,1,1373
433, 16765,6,1,1328
434, 16765,6,1,1373
435, 16765,7,1,1373
436, 16765,6,1,1373
437, 16765,7,1,1373
438, 16765,6,1,1373
439, 16765,6,1,1373
440, 16765,6,1,1373
441, 16765,6,1,1373
442, 16693,6,1,1373
443, 16693,6,1,1373
444, 16693,6,1,1373
445, 16693,6,1,1373
446, 16693,6,1,1373
447, 16693,6,1,1373
448, 16665,6,1,1373
449, 16665,6,1,1373
450, 16665,6,1,1373
451, 16665,6,1,1373
452, 16665,6,1,1373
453, 16665,6,1,1373
454, 16593,7,1,1526
455, 16593,8,1,1395
456, 16593,6,1,1373
457, 16593,6,1,1373
458, 16593,6,1,1373
459, 16593,6,1,1373
460, 16593,6,1,1373
461, 16593,6,1,1373
462, 16593,6,1,1274
463, 16593,6,1,1291
464, 16593,6,1,1373
465, 16593,6,1,1373
466, 16593,6,1,1373
467, 16593,6,1,1373
468, 16593,6,1,1373
469, 16593,6,1,1373
470, 16593,6,1,1373
471, 16593,6,1,1373
472, 16593,6,1,1373
473, 16593,6,1,1373
474, 16593,6,1,1373
475, 16485,6,1,1373
476, 16485,6,1,1373
477, 16485,6,1,1373
478, 16485,6,1,1373
479, 16485,6,1,1373
480, 16485,6,1,1373
481, 16485,6,1,1373
482, 16485,6,1,1283
483, 16485,6,1,1373
484, 16485,6,1,1373
485, 16485,6,1,1373
486, 16485,6,1,1373
487, 16485,7,1,1373
488, 16485,6,1,1373
489, 16485,6,1,1291
490, 16485,6,1,1373
491, 16485,6,1,1373
492, 16485,6,1,1373
493, 16485,6,1,1373
494, 16485,6,1,1373
495, 16485,6,1,1373
496, 16485,7,1,1373
497, 16485,6,1,1373
498, 16485,6,1,1373
499, 16485,6,1,1373
500, 16485,7,1,1373
501, 16485,6,1,1373
502, 16485,6,1,1373
503, 16485,6,1,1373
